Datum	l100km	kmStand	kmTank	Liter	Euro	EuroTotal	AtsTotal	AtsProTag	EuroProTag	kmTotal	kmProTag	Monat				
13.06.2002	16,17	112950	371	60	56	56	773	0	0,0	0	25	6				
15.06.2002	15,41	113320	370	57	54	110	1518	759	55,0	370	185	6				
04.07.2002	16,48	113683	364	60	55	165	2277	108	7,9	733	19	7				
06.07.2002	15,82	114056	373	59	52	217	2995	130	9,4	1106	187	7				
10.07.2002	14,44	114417	360	52	47	264	3643	135	9,8	1467	90	7				
21.07.2002	15,00	114839	420	63	54	318	4388	115	8,4	1889	38	7				
02.08.2002	15,06	115225	385	58	55	373	5147	103	7,5	2275	35	8				
03.08.2002	15,94	115476	251	40	45	418	5768	113	8,2	2526	251	8				
10.08.2002	13,53	115817	340	46	42	460	6348	109	7,9	2867	49	8				
16.08.2002	13,86	116250	433	60	60	520	7176	112	8,1	6412	72	8				
17.08.2002	16,09	116598	348	56	54	574	7921	122	8,8	3648	348	8				
22.08.2002	13,04	116929	391	51	100	674	9301	133	9,6	3979	66	8				
23.08.2002	13,54	117217	288	39	35	709	9784	138	10,0	4267	288	8				
08.09.2002	17,68	117531	311	55	50	759	10474	120	8,7	4581	21	9				
09.09.2002	11,33	117890	353	40	37	796	10985	125	9,0	4940	359	9				
10.09.2002	17,05	118243	352	60	65	861	11882	134	9,7	5293	353	9
11.09.2002	15,50	118585	342	53	56	917	12655	141	10,2	5635	342	9
12.09.2002	18,39	118895	310	57	61	978	13496	148	10,7	5945	310	9
13.09.2002	13,49	119362	467	63	61	1039	14338	156	11,3	6412	467	9
05.10.2002	15,38	119753	390	60	53	1092	15070	132	9,6	6803	18	10
26.10.2002	19,58	120039	286	56	49	1141	15746	117	8,5	7089	14	10
09.11.2002	22,35	120219	179	40	39	1180	16284	109	7,9	7269	14	11
15.11.2002	14,56	120631	412	60	50	1230	16974	110	7,9	7681	69	11
16.11.2002	19,44	120812	180	35	40	1270	17526	112	8,1	7862	181	11
18.11.2002	20,00	121084	270	54	45	1315	18147	115	8,3	8134	136	11
19.11.2002	23,94	121165	71	17	16	1331	18368	116	8,4	8215	81	11
23.11.2002	17,30	121532	367	63,5	51	1382	19072	117	8,5	8582	92	11
07.12.2002	18,87	121843	310	58,5	48	1430	19734	111	8,1	8893	22	12
15.12.2002	17,20	122122	279	48	43	1473	20327	110	8,0	9172	35	12
22.12.2002	19,23	122434	312	60	52	1525	21045	110	7,9	9484	45	12
28.12.2002	16,15	122691	257	41,5	37	1562	21556	109	7,9	9741	43	12
11.01.2003	19,05	123028	336	64	56	1618	22328	105	7,6	10078	26	1
01.02.2003	19,31	123349	321	62	57	1675	23115	99	7,2	10399	16	2
14.02.2003	23,42	123617	269	63	56	1731	23888	97	7,0	10667	21	2
25.02.2003	20,00	123853	235	47	42	1773	24467	95	6,9	10903	21	2
08.03.2003	16,12	124189	335	54	51	1824	25171	94	6,8	11239	26	3
23.03.2003	16,71	124572	383	64	61	1885	26013	92	6,7	11622	26	3
30.03.2003	14,96	124914	341	51	49	1934	26689	92	6,7	11964	49	3
11.04.2003	20,40	125215	299	61	56	1990	27462	91	6,6	12265	27	4
21.04.2003	17,09	125566	351	60	52	2042	28180	90	6,5	12616	35	4
29.04.2003	15,08	125965	398	60	54	2096	28925	90	6,6	13015	50	4
03.05.2003	17,48	126290	326	57	54	2150	29670	92	6,6	13340	81	5
10.05.2003	15,58	126676	385	60	52	2202	30388	92	6,7	13726	55	5
26.05.2003	19,90	126890	314	62,5	55	2257	31147	90	6,5	13940	13	5
04.06.2003	19,59	127286	296	58	47	2304	31795	89	6,5	14336	50	6
08.06.2003	15,54	127598	312	48,5	45	2349	32416	90	6,5	14648	78	6
13.06.2003	18,02	127942	344	62	56	2405	33189	91	6,6	14992	69	6
19.06.2003	19,03	128283	339	64,5	52	2457	33907	91	6,6	15333	57	6
20.06.2003	14,12	128728	439	62	57	2514	34693	93	6,8	15778	445	6
21.06.2003	15,84	129276	543	86	85	2599	35866	96	7,0	16326	548	6
22.06.2003	12,82	129706	429	55	58	2657	36667	98	7,1	16756	430	6
23.06.2003	14,59	130076	370	54	57	2714	37453	100	7,2	17126	370	6
24.06.2003	19,59	130372	296	58	62	2776	38309	102	7,4	17422	296	6
25.06.2003	19,35	130663	292	56,5	63	2839	39178	104	7,5	17713	291	6
27.06.2003	19,81	130929	265	52,5	53	2892	39910	105	7,6	17979	133	6
28.06.2003	17,99	131397	467	84	91	2983	41165	108	7,9	18447	468	6
29.06.2003	13,83	131838	441	61	61	3044	42007	110	8,0	18888	441	6
30.06.2003	13,37	132324	486	65	57	3101	42794	112	8,1	19374	486	6
19.07.2003	16,84	132699	374	63	51	3152	43498	108	7,9	19749	20	7
26.07.2003	16,48	133063	364	60	50	3202	44188	108	7,8	20113	52	7
10.08.2003	15,43	133426	363	56	52	3254	44905	106	7,7	20476	26	8
16.08.2003	12,34	133824	397	49	46	3300	45540	106	7,7	20874	66	8
17.08.2003	17,90	134176	352	63	59	3359	46354	108	7,8	21226	352	8
19.08.2003	15,50	134576	400	62	56	3415	47127	109	7,9	21626	200	8
24.08.2003	16,27	134952	375	61	55	3470	47886	110	7,9	22002	75	8
29.08.2003	14,81	135364	412	61	56	3526	48659	110	8,0	22414	82	8
30.09.2003	15,59	135737	372	58	54	3580	49404	104	7,6	22787	12	9
13.12.2003	20,20	136045	307	62	50	3630	50094	91	6,6	23095	4	12
