Date,kmStand,kmTank,Liter,Euro,Brand,bTuned,bManual
04.04.2008,49257,500,48.8,70,UBK,0,0
05.04.2008,49737,480,50.5,65,UBK,0,0
06.04.2008,50147,408,45.9,56,UBK,0,0
25.04.2008,50446,299,43.2,54,UBK,0,0
10.05.2008,50812,366,48.9,63,UBK,0,0
21.05.2008,51206,394,51.9,68,UBK,0,0
30.05.2008,51576,370,49.7,66,UBK,0,0
08.06.2008,51985,408,52.8,70,UBK,0,0
22.06.2008,52345,360,50.0,67,UBK,0,0
04.07.2008,52686,340,49.5,69,UBK,0,0
20.07.2008,53050,364,50.0,70,UBK,0,0
07.08.2008,53431,381,52.8,68,UBK,0,0
10.08.2008,53824,393,52.5,70,UBK,0,0
14.08.2008,54240,416,52.8,73,UBK,0,0
23.08.2008,54638,398,53.8,68,UBK,0,0
29.08.2008,55055,417,50.9,67,UBK,0,0
31.08.2008,55425,371,49.2,74,BP,0,0
06.09.2008,55780,355,44.9,57,OMV,0,0
20.09.2008,56146,365,52.3,65,BP,0,0
11.10.2008,56482,336,52.1,64,BP,0,0
25.10.2008,56772,290,40.1,48,OMV,0,0
02.11.2008,57139,367,47.9,51,Avanti,0,0
08.11.2008,57532,393,55.5,66,BP,0,0
23.11.2008,57929,397,52.6,56,BP,0,0
24.11.2008,58391,461,51.3,61,OMV,0,0
28.11.2008,58826,434,54.1,56,OMV,0,0
13.12.2008,59224,397,54.5,50,BP,0,0
31.12.2008,59551,326,48.0,43,BP,0,0
02.01.2009,59971,420,50.0,45,Shell,0,0
06.01.2009,60406,435,56.1,47,OMV,0,0
17.01.2009,60764,357,49.0,46,BP,0,0
18.02.2009,61109,345,52.7,52,Hahn,0,0
13.03.2009,61478,367,51.8,53,BP,0,0
29.03.2009,61818,331,50.5,49,IQ,0,0
07.04.2009,62208,397,50.8,48,Jandl,0,0
18.04.2009,62568,380,52.0,52,BP,0,0
23.04.2009,63020,433,51.0,57,Shell,0,0
24.04.2009,63348,322,44.0,48,OMV,0,0
26.04.2009,63821,473,55.2,70,Agip,0,0
02.05.2009,64255,434,52.1,54,BP,0,0
16.05.2009,64620,373,52.8,60,IQ,0,0
05.06.2009,64979,351,51.4,58,OMV,0,0
15.06.2009,65368,378,54.3,63,BP,0,0
04.07.2009,65695,328,53.4,61,BP,0,0
01.08.2009,66035,339,49.4,58,BP,0,0
08.08.2009,66419,380,49.3,59,BP,0,0
16.08.2009,66793,370,51.3,65,Shell,0,0
